accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5593495965003967,0.5800957083702087,0.744979202747345,0.7819905281066895,0.5506117939949036,0.2711864411830902,0.5940729379653931,0.950404942035675,0.0,0.0
0.6650406718254089,0.6606770157814026,0.6622826457023621,0.8150064945220947,0.7007786631584167,0.2711864411830902,0.5372254252433777,1.3528248071670532,0.0,0.0
0.6471544504165649,0.6939752101898193,0.6367114186286926,0.8288543224334717,0.6518353819847107,0.2711864411830902,0.5451388955116272,2.112748146057129,0.0,0.0
0.699999988079071,0.7270112037658691,0.6162833571434021,0.831250011920929,0.739710807800293,0.2711864411830902,0.5724321603775024,2.288010835647583,0.0,0.0
0.6796748042106628,0.7217569947242737,0.6133880615234375,0.8454172611236572,0.6874305009841919,0.2711864411830902,0.6022286415100098,2.3483471870422363,0.0,0.0
0.6804878115653992,0.7135118246078491,0.6145877242088318,0.8202531933784485,0.7208008766174316,0.2711864411830902,0.6958171725273132,1.1647320985794067,0.0,0.0
0.6878048777580261,0.737281084060669,0.600124180316925,0.8447121977806091,0.7018910050392151,0.2711864411830902,0.6979974508285522,2.1324734687805176,0.0,0.0
0.7243902683258057,0.7576478123664856,0.5818346738815308,0.8535353541374207,0.7519466280937195,0.2711864411830902,0.7067183256149292,2.146871566772461,0.0,0.0
0.704878032207489,0.7505990266799927,0.5874090194702148,0.8401015400886536,0.7363737225532532,0.2711864411830902,0.6149870753288269,4.358638286590576,0.0,0.0
0.7349593639373779,0.7697743773460388,0.5668636560440063,0.8464328646659851,0.7786429524421692,0.2711864411830902,0.5,7.080759048461914,0.0,0.0
0.7235772609710693,0.776771068572998,0.5666100382804871,0.8542459011077881,0.749721884727478,0.2768361568450928,0.7479812502861023,1.307080626487732,1.0,0.007751937955617905
0.7357723712921143,0.7632162570953369,0.574425995349884,0.8474576473236084,0.7786429524421692,0.2711864411830902,0.7475775480270386,1.3714741468429565,0.0,0.0
0.7349593639373779,0.7671783566474915,0.5643691420555115,0.8506731986999512,0.7730811834335327,0.6271186470985413,0.7386143207550049,0.6705355644226074,0.8539325594902039,0.5891472697257996
0.7333333492279053,0.7894521951675415,0.5534460544586182,0.8683871030807495,0.7486095428466797,0.5141242742538452,0.7720445394515991,0.8538081049919128,0.9387755393981934,0.356589138507843
0.767479658126831,0.7921255230903625,0.5466872453689575,0.8510882258415222,0.8264738321304321,0.7570621371269226,0.7560561895370483,0.5421566367149353,0.7866666913032532,0.9147287011146545
0.7439024448394775,0.7948190569877625,0.5438722968101501,0.8631840944290161,0.7719688415527344,0.7288135886192322,0.700581431388855,0.5879783630371094,0.8188976645469666,0.8062015771865845
0.7455284595489502,0.8124922513961792,0.5276793241500854,0.8662499785423279,0.770856499671936,0.6666666865348816,0.7289243936538696,0.706504225730896,0.8500000238418579,0.6589147448539734
0.774796724319458,0.8136297464370728,0.5230726003646851,0.8650234937667847,0.8197997808456421,0.7740113139152527,0.7559754848480225,0.5996557474136353,0.8248175382614136,0.8759689927101135
0.7642276287078857,0.8185110092163086,0.5171968936920166,0.8792029619216919,0.7853170037269592,0.299435019493103,0.7711563110351562,1.561768651008606,1.0,0.03875968977808952
0.7544715404510498,0.8027868270874023,0.5309731364250183,0.8680641055107117,0.7830923199653625,0.7457627058029175,0.7990955710411072,0.657751739025116,0.7530120611190796,0.9689922332763672
0.7455284595489502,0.8124737739562988,0.5270896553993225,0.8718274235725403,0.764182448387146,0.7401130199432373,0.681120753288269,0.5792595148086548,0.7902097702026367,0.8759689927101135
0.7626016139984131,0.8088510632514954,0.5293755531311035,0.8723926544189453,0.7908787727355957,0.7570621371269226,0.7319928407669067,0.9575628042221069,0.7756410241127014,0.9379844665527344
0.7430894374847412,0.8057593107223511,0.5343126654624939,0.8732394576072693,0.7586206793785095,0.2711864411830902,0.5,6.546326160430908,0.0,0.0
0.7829268574714661,0.8357405662536621,0.5004754066467285,0.8807228803634644,0.8131256699562073,0.28248587250709534,0.7038113474845886,1.8584818840026855,1.0,0.01550387591123581
0.7292683124542236,0.7989625930786133,0.5414422750473022,0.8637531995773315,0.7474972009658813,0.2711864411830902,0.7273094058036804,3.572722911834717,0.0,0.0
0.7666666507720947,0.8132920265197754,0.522895336151123,0.8731707334518433,0.7964404821395874,0.6610169410705566,0.7959463596343994,0.7738319039344788,0.8876404762268066,0.6124030947685242
0.7536585330963135,0.824134886264801,0.5105090737342834,0.8860103487968445,0.7608453631401062,0.28248587250709534,0.7932009100914001,1.5550355911254883,1.0,0.01550387591123581
